,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Hawaii
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,North Carolina
23,North Dakota
24,Oklahoma
25,Oregon
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,West Virginia
35,Wisconsin
36,Wyoming
